name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Stockholm,2023-01-05,30.8,19.2,26.1,20.8,12.4,16.9,22.4,85.8,0.129,100,37.5,"rain,snow",0.5,1.5,26.8,16.3,41.5,1013.7,95,7.3,5.2,0.4,0,10,2023-01-05T08:41:56,2023-01-05T15:04:27,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-06,25.9,14.5,22.8,23.2,9.9,13.2,18.7,84.2,0.026,100,20.83,snow,0.2,1.9,29.1,19.7,113.8,1022.3,84.4,8.2,7.3,0.6,0,10,2023-01-06T08:41:10,2023-01-06T15:06:07,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-07,34.4,25.1,31.1,25.7,13.3,21.3,29.3,92.9,0.066,100,37.5,"rain,snow",0.7,2.7,24.6,15.7,138.8,1015.5,97.3,5,5.3,0.5,0,10,2023-01-07T08:40:18,2023-01-07T15:07:52,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02460099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB,F4490"
Stockholm,2023-01-08,39.4,35,37.9,33.7,25.3,30.2,37.2,97.2,0.443,100,79.17,rain,0,1.4,24.6,15.6,142.2,1005.8,98.6,3.4,2.5,0.2,0,10,2023-01-08T08:39:23,2023-01-08T15:09:40,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-09,39.7,34,38.3,39.4,26.4,33.5,38.1,99,0.231,100,45.83,rain,0,0.6,22.4,12.9,128.6,1000.9,99.2,2.3,3.5,0.3,0,10,2023-01-09T08:38:23,2023-01-09T15:11:32,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-10,40.3,33.2,37.1,35.9,25.8,31.6,35.7,95,0.256,100,33.33,"rain,snow",0.3,0.2,17.9,9.5,173.9,1005.4,97,11,6,0.6,0,10,2023-01-10T08:37:18,2023-01-10T15:13:27,0.62,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-11,41.2,39,40.1,35.7,29.3,33.2,37,88.4,0.197,100,20.83,rain,0,0,37.3,20.9,175.3,1001.9,84.8,14.1,2.5,0,0,10,2023-01-11T08:36:09,2023-01-11T15:15:25,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB,F4490"
Stockholm,2023-01-12,40.9,37.6,39.1,39.4,31.5,34.4,36.8,91.4,0.085,100,16.67,rain,0,0,20.1,10,186.2,996.5,71.7,9.8,4.5,0.5,0,10,2023-01-12T08:34:56,2023-01-12T15:17:26,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"02486099999,02464099999,02460099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-01-13,41.9,33.2,38.8,37.4,28.6,34.2,37.2,93.9,0.093,100,33.33,"rain,snow",0,0,17.9,10.6,167.8,994.3,85.6,10.4,6.7,0.7,0,10,2023-01-13T08:33:40,2023-01-13T15:19:30,0.72,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB,F4490"
Stockholm,2023-01-14,41.2,34.4,39.1,38.1,30,34.7,37.7,94.6,0.169,100,37.5,rain,0,0,22.4,11.2,194.9,995.5,95.9,10.1,7.8,0.7,0,10,2023-01-14T08:32:19,2023-01-14T15:21:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-15,40.7,37.3,38.9,34.4,27.5,31.2,35.2,86.8,0.585,100,37.5,"rain,snow",0.2,0.1,33.6,20.7,165.2,983.3,73.9,11.5,8.4,0.8,1,10,2023-01-15T08:30:54,2023-01-15T15:23:45,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-16,39.4,35.2,37.3,33.9,26.3,30.8,32.5,82.8,0.071,100,25,rain,0,0,31.3,14.1,212.9,985,68.8,14.9,13.5,1.2,1,10,2023-01-16T08:29:26,2023-01-16T15:25:57,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-17,39,33.4,36.5,31.9,25.1,28.6,33.8,89.9,0.189,100,37.5,"rain,snow",0.5,0.1,25.8,15.9,113.8,988.8,92.4,10.9,3,0.2,0,10,2023-01-17T08:27:54,2023-01-17T15:28:11,0.85,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
